128247;4;Водитель автомобиля (спецтехника);Санкт-Петербург;"<p><strong>Обязанности:</strong></p> <ul> <li>Управление автомобилем категории ""С"", ""D""<span></span></li> </ul> <p><strong>Требования:</strong></p> <ul> <li>среднее, средне-специальное образование;</li> <li>опыт работы от 3-х лет на аналогичной должности;</li> <li>водительское удостовение категории С и D;</li> <li>навыки по управлению и обслуживанию автомобилей категории С и D;</li> <li>ответственность, отсутствие вредных привычек;</li> <li>наличие удостоверения тракториста-машиниста будет преимуществом</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>график работы 5\2, в зимний период (декабрь-март) возможен сменный график день\ночь;</li> <li>оклад + ежемесячная премия + доплата за ночные смены;</li> <li>оформление по ТК РФ;</li> <li>предоставляется спецодежда;</li> <li>ДМС, включая стоматологию (после испытательного срока);</li> <li>корпоративная развозка&nbsp; от/до ст. м. Московская/Авиагородок/п. Сиверский/Гатчина.</li> </ul> <div> <p>______________________________________________________________________</p> <p><strong>Внимание!</strong><span>&nbsp;</span>В связи с проверкой государственных органов процесс трудоустройства и получения пропуска на контролируемую зону аэропорта может занимать<span>&nbsp;</span><strong>от 6 до 8 недель.</strong></p> <p><strong>Срок рассмотрения резюме - 14 календарных дней.</strong>&nbsp;Как правило, мы свяжемся с Вами раньше, но если Вы не получили положительного ответа на отклик после 14 дней, значит, пока мы не готовы сделать Вам предложение о работе.</p> <p>Ваше резюме будет сохранено в нашей базе и, в случае появления подходящей вакансии, мы обязательно свяжемся с Вами по указанному телефону или электронной почте.</p> </div>"
148293;2;Водитель-экспедитор VIP доставки 4/Водитель;Москва;NULL
147841;2;Водитель-экспедитор VIP доставки 2/Водитель;Москва;NULL
148297;1;Водитель на легковом автомобиле 2/ Водитель;Москва;NULL
175794;2;Водитель на авто компании;Москва;"<p>В круглосуточный ресторан, график работы: с 18 до 06; с 19 до 07; с 20 до 08; с 21 до 09.</p>"
181855;2;Водитель доставки на авто компании;Москва;NULL
182455;2;водитель погрузчика-кладовщик;Москва;NULL
186263;2;Водитель на грузовом авто 1/ Водитель;Москва;NULL
200017;2;Водитель на личном авто Т-Долгопрудный;Москва;NULL
200019;2;"Водитель на личном авто Т-Митино ";Москва;NULL
345402;1;Водитель-курьер ИПР Екатеринбург;Екатеринбург;<p>авто не легковой, а грузовой или грузо-пассажирский по СТС</p> <p>2 р в неделю забирать инструмент в транспортной компании и развозить по предприятиям УГМК по Свердловской области</p> <p>вся зп белая, 50 +6 амортизация +гсм</p> <p>собес онлайн Ясиновер + Булдыгин</p> <p>груз (коробки до 10 кг)</p>
27061;3;Водитель-экспедитор;Москва;NULL
