2332406;Усманский Промышленно-технологический колледж;Землеустройство, ГЕОДЕЗИЯ И ЗЕМЛЕУСТРОЙСТВО;2012
2341775;Воронежский государственный архитектурно-строительный университет, Воронеж;Экономики и управления строительством, Управление строительством;2005
2378812;Воронежская государственная лесотехническая академия, Воронеж;Организация безопасности движения;2021
2378812;ВКЖДТ;эксплуатация подвижного состава, техник;2010
2427488;Воронежский государственный университет                    , г. Воронеж.;Лингвист, преподаватель;2011
2437338;Российский новый университет                    , г. Москва.;Экономический, Финансы и кредит;2012
2451842;Ковылкинский техникум;Строительство;2011
2451985;БФ МАДИ;NULL;2017
2452669;Национальный аграрный университет;Технолог;2010
2416568;Воронежский государственный технический университет, Воронеж;Авиационный, Промышленная теплоэнергетика;-1
2416568;Воронежский государственный технический университет, Воронеж;Авиационный, Промышленная теплоэнергетика;-1
2416568;Воронежский государственный технический университет                    , г. Воронеж.;Авиационный факультет, Промышленная теплоэнергетика;2024
2452898;ВВВАИУ;Строительный, Инженер;1997
2453150;Юридический колледж Российской секции Международной полицейской ассоциации;Специалист по налогооблажению;2006
2453150;Юридический колледж Российской секции Международной полицейской ассоциации;Юрист;2006
2402934;ВЗФЭИ;NULL;2005
2392595;СПТУ-32                    , г. Харьков Украина.;АВТОСЛЕСАРЬ;2000
2392572;Воронежский государственный университет инженерных технологий;Экономика, Экономист;2008
2384749;Владивостокский государственный университет экономики и сервиса, Владивосток;Институт международных отношений и социальных технологий, кафедра ГМУ, государственное и муниципальное управление;2008
2384666;Воронежский государственный технический университет, Воронеж;Физико-Технический Факультет, Метрология, стандартизация и сертификация;2010
2368788;Спту 33;1, Водитель категории в,с. механизатор, слесарь;2008
2343169;ВКЭМП;экономический;2006
2417381;Воронежский государственный университет, Воронеж;Физический факультет, Компьютерные технологии передачи информации.Радиофизика и радиолокация.;2015
2417378;В.М.У.+;+, +;1994
2417272;Лицей № 7;--------, Эл. Сварщик.;1993
2416877;Воронежская государственная лесотехническая академия, Воронеж;Механический факультет, Инженер механик автотранспорта;2005
2416585;Воронежский государственный технический университет, Воронеж;Авиационный факультет, Нефтегазовое дело;2019
2414550;"ЖВШП ""Элтекс""";Маркетинг и коммерция, Экономист по маркетингу;2000
2414550;"Университет ""Аулие-Ата""";Юриспруденция, Юрист;2002
2404354;Воронежский государственный аграрный университет им. Петра I                    , г. Воронеж.;Экономика и управление предприятием, Экономист - менеджер;2016
2420521;пту1;слесарь-электрик, сэпст;1997
2420249;Воронежский Монтажный Техникум;Монтаж наладка и эксплуатация электрооборудования на предприятиях и в гражданских зданиях, Техник электрик;2002
2420249;Воронежский институт высоких технологий, Воронеж;Информационные системы, Инженер системотехник;2006
2419107;Восточноукраинский национальный университет им. В. Даля, Луганск;транспорт и логистика, Автомобили и автомобильное хозяйство;2016
2449615;Колледж кулинарии;Повар;2005
2449220;Воронежский государственный университет, Воронеж;медико-биологический, Охрана окружающей среды и рациональное использование природных ресурсов;2014
2449194;Филиал Российской академии народного хозяйства и государственной службы при Президенте РФ, Воронеж;Регионоведение, Внешнеэкономическая деятельность стран ЗЕ;2008
2449174;СХИ, Воронеж;Агроинжинерный, Тех. Сервис в АПК;2016
